job;salary;id;city;year;age
Врач;88893;3268733;Самора;2020;52
Менеджер;183684;8245983;Мерида;2008;42
Инженер;40556;8074942;Прага;2008;60
Инженер;163995;9938338;Луарка;2014;33
Бухгалтер;181964;1175253;Монсон;2007;22
Косметолог;176303;3594505;Эльче;2007;60
Бухгалтер;95876;9563515;Минск;2000;51
Психолог;65572;9986925;Бланес;2005;36
Программист;46743;5703144;Алма-Ата;2005;65
Инженер;188229;5765054;Вильявисиоса;2000;18
Врач;61148;2243146;Тарраса;2022;42
Водитель;118020;2690545;Сантьяго-де-Компостела;2014;41
Продавец;57731;3517573;Белград;2020;37
Водитель;149833;8952037;Санкт-Петербург;2019;19
Косметолог;194924;8955348;Бильбао;2011;47
Учитель;132802;4598174;Трухильо;2010;41
Повар;103457;9832611;Авилес;2003;37
Учитель;178434;5717705;Фигерас;2016;21
Архитектор;185416;2027219;Алькала-де-Энарес;2010;40
Врач;188882;2730047;Санкт-Петербург;1999;31
Оператор call-центра;77355;3007503;Варшава;2014;54
IT-специалист;133982;8264153;Сьюдад-Реаль;2003;33
IT-специалист;74709;9218403;Сараево;2021;19
Бухгалтер;197840;5472453;Луарка;2010;32
Менеджер;91329;6068594;Вильнюс;2012;54
Продавец;188046;1694684;Бургос;2002;56
Психолог;186724;9117304;Вроцлав;2019;60
Медсестра;106316;4845360;Бильбао;2006;62
Оператор call-центра;98510;1773468;Тбилиси;2005;56
Косметолог;141152;2191589;Вальядолид;1999;41
Косметолог;46351;3699691;Вильнюс;2020;50
Водитель;88655;8982697;Осера;2013;22
Архитектор;25113;9485324;Артейхо;2006;33
IT-специалист;105364;5243591;Ла-Корунья;2018;27
Бухгалтер;125510;1653770;Сьюдад-Реаль;2003;24
Бухгалтер;80875;3689792;Бильбао;2017;39
IT-специалист;106122;8699499;Сеговия;1999;30
Оператор call-центра;51979;7631553;Бишкек;2016;47
Водитель;58640;2396554;Луго;2017;28
Строитель;150164;1203528;Махадаонда;2012;65
Инженер;188255;9902017;Алькала-де-Энарес;2013;61
Менеджер;102393;7446974;София;2003;26
Водитель;20026;7887998;Хельсинки;2009;59
Учитель;61167;7341136;Луарка;2005;27
Архитектор;20667;9743580;Махадаонда;1999;44
Врач;102319;1548983;Луарка;2008;18
Медсестра;89498;6510839;Бишкек;2005;63
Оператор call-центра;182007;9608020;Аликанте;2011;21
Оператор call-центра;32023;2591397;Тирана;2014;22
Косметолог;37674;8574192;Ташкент;2017;41
Косметолог;111027;6305482;Вильнюс;2001;43
Менеджер;75381;8809415;Фигерас;2019;62
Строитель;179032;4971160;Навалькарнеро;2000;18
Учитель;124830;5180048;Таллин;2018;42
Врач;123132;1530572;Валенсия;2013;41
Строитель;49897;7041884;Будапешт;2008;61
Строитель;196488;8021495;Будапешт;2015;41
Инженер;192215;7304432;Тбилиси;2010;53
Программист;169285;7015511;Артейхо;2016;28
Медсестра;131266;5217954;Севилья;2001;36
Инженер;183106;8964694;Белград;2021;60
Водитель;58704;4965571;Осера;2014;55
Косметолог;72337;5931318;Фигерас;2013;32
Психолог;102583;8385369;Касерес;2015;23
Психолог;87873;5682098;Хихон;2004;45
Программист;128050;8561256;Афины;2022;51
Программист;53319;7120603;Кишинев;2009;59
Менеджер;152412;9524532;Осера;2016;59
Оператор call-центра;71864;2767847;Тирана;2018;45
Медсестра;140879;1080637;Ташкент;2017;50
Продавец;171921;6624607;Сан-Себастьян;2014;34
Бухгалтер;135056;5186551;Хихон;2000;29
Строитель;28987;8806758;Махадаонда;2005;55
IT-специалист;84414;6595837;Эль-Пуэрто-де-Санта-Мария;2002;60
Строитель;130608;4960834;Луго;2008;26
Программист;181884;1112939;Гранада;2010;18
Строитель;141086;8621560;Семана;2003;59
Оператор call-центра;112344;3686249;Сеговия;2017;23
Оператор call-центра;189122;2173236;Эльче;2012;63
Оператор call-центра;140740;5016087;Подгорица;2012;49
Продавец;42649;1379656;Мадрид;2021;63
Бухгалтер;126579;3125482;Вроцлав;2001;32
Психолог;118520;6120936;Мурсия;2011;40
Оператор call-центра;176741;6810715;Минск;2011;44
Оператор call-центра;150461;2822624;Астана;2010;48
Инженер;88366;2737826;Хихон;2013;61
Психолог;119379;6018713;Камбадос;2018;43
Менеджер;136071;8340529;Мадрид;2017;20
Программист;168286;1723433;Минск;2017;52
Бухгалтер;77719;5161609;Самора;2022;25
Менеджер;71162;9268876;Рига;2001;27
Продавец;79565;2457469;Алькала-де-Энарес;2014;65
Косметолог;197476;8172548;Тирана;2022;44
Бухгалтер;162317;4850034;Семана;2016;20
Программист;152306;4970134;Бишкек;2001;39
Водитель;181969;3754585;Осера;2014;40
Менеджер;94299;2147301;Мерида;2021;51
Строитель;113479;4190579;Рига;2014;18
Повар;62396;5290159;Минск;2004;23
IT-специалист;39746;9397930;Авилес;2006;58
Бухгалтер;54894;6970753;Тудела;2014;46
Продавец;121616;9032809;Осера;2019;37
Продавец;46888;9886096;Самора;2006;50
Врач;117150;7483810;Сантьяго-де-Компостела;2018;43
Повар;91599;6364650;Гранада;2007;49
Строитель;69088;7515565;Мадрид;2022;48
Психолог;167174;8642858;Подгорица;2022;44
IT-специалист;27048;7538557;Мадрид;2014;46
Бухгалтер;141761;2614735;Бишкек;2018;20
Строитель;74830;9496003;Алма-Ата;2022;43
Водитель;48369;1151178;Куэнка;2005;18
Психолог;43609;1939021;Монсон;2019;18
Программист;151291;3527809;Мурсия;2021;23
Медсестра;32358;4521479;Барселона;2020;29
Учитель;141144;3536942;Луго;2008;59
Инженер;94346;2553381;Овьедо;2019;47
Архитектор;119220;5856423;Сараево;2013;50
Продавец;137535;7603013;Ла-Корунья;2015;64
IT-специалист;21523;7155412;Сантьяго-де-Компостела;2002;35
Программист;20700;9070378;Бильбао;2016;55
IT-специалист;104178;2226751;Кордова;2009;18
Психолог;167623;6819936;Москва;2021;38
Архитектор;104894;2971645;Трухильо;2008;18
Менеджер;33421;4995529;Алма-Ата;2009;51
Оператор call-центра;45536;9396088;Мерида;2015;60
Бухгалтер;26294;8829270;Сеговия;2013;47
Менеджер;62965;4754092;Гранада;2003;23
Продавец;120854;6994961;Ереван;2013;40
Программист;72612;8922417;Ла-Корунья;2020;40
Строитель;197350;3396101;Ла-Корунья;2021;42
Оператор call-центра;136799;8639779;Бургос;2015;20
Медсестра;139269;6786186;Навалькарнеро;2002;61
Программист;77116;5557283;Ташкент;2001;30
Инженер;165474;5752816;Махадаонда;2006;24
Водитель;84997;1982490;Афины;2009;64
Менеджер;92569;4227055;Ташкент;2009;61
Архитектор;71147;6912352;Хихон;2020;18
Строитель;61816;9509990;Москва;2015;39
Менеджер;37394;5782410;Махадаонда;2021;44
Повар;177414;3389477;Ташкент;2012;65
Врач;107782;4981962;Таллин;2014;23
Программист;107847;9758340;Минск;2008;49
Оператор call-центра;33233;8243728;Кордова;2019;49
Продавец;170648;8392474;Таллин;2008;40
Продавец;100092;5491913;Фигерас;2015;25
IT-специалист;33569;4411475;София;2018;64
Менеджер;58103;3005283;Виго;2011;25
Продавец;112536;7244418;Ереван;2011;39
Повар;42865;8016159;Ереван;2010;34
Врач;187474;6382396;Будапешт;2001;56
Медсестра;106753;9390240;Барселона;2022;18
IT-специалист;43120;4188013;Кишинев;2022;30
Повар;120847;5635979;Касерес;2022;36
Водитель;145592;5143869;Хельсинки;2010;18
Инженер;53381;5271923;Рига;2017;20
Косметолог;120456;6718858;Кадакес;2002;38
Повар;94117;2292135;Осера;2007;56
Медсестра;179145;5091821;Луарка;2014;24
Водитель;25532;9322847;Бильбао;2019;65
Программист;171440;8297514;Бильбао;2022;50
Менеджер;21585;5936679;Виго;2019;46
Программист;193595;8224681;Семана;2012;26
Бухгалтер;39750;2932412;Касерес;2001;25
Врач;35022;8033626;Хихон;2016;49
Программист;56094;4863178;Кадакес;2019;50
IT-специалист;169607;4276387;Осера;2014;42
Архитектор;100678;8494733;Фигерас;2001;44
Продавец;20010;8785419;Санхенхо;2019;33
Строитель;27014;9921734;София;2015;62
Косметолог;149869;5711502;Вроцлав;2016;55
Косметолог;91863;4300139;Куэнка;2012;59
Оператор call-центра;34991;5602374;Эльче;2002;48
Учитель;112731;7787602;Сория;2011;58
Водитель;132771;3239490;Навалькарнеро;2019;33
Архитектор;81897;3409228;Монсон;2015;60
Медсестра;29171;7046021;Москва;2022;51
Косметолог;98670;1671598;Пласенсия;2020;50
Учитель;155073;4707869;Мерида;2009;48
Водитель;106347;8125519;Вальядолид;2020;39
Повар;165576;9763984;Таллин;2016;55
Врач;39325;8224931;Самора;2015;27
IT-специалист;44198;7926673;Мурсия;2007;23
Водитель;110938;8716919;Санхенхо;2002;53
Повар;126319;4051969;Вальядолид;2009;56
Косметолог;120927;8136285;Льейда;2019;65
Оператор call-центра;166084;8821339;Хихон;2003;47
Оператор call-центра;70677;5777088;Барселона;1999;53
Продавец;27819;4808067;Бургос;2015;57
Инженер;34168;9988778;Хихон;2002;43
Оператор call-центра;84305;6835465;Трухильо;2001;27
Программист;49653;2277458;Пласенсия;2019;52
Строитель;70005;1541505;Ла-Корунья;2009;44
Менеджер;155507;8652721;Тарраса;2000;22
Водитель;138697;9551516;Валенсия;2011;61
Бухгалтер;39364;5701203;Камбадос;2008;55
IT-специалист;54135;6851689;Аликанте;2008;37
Повар;22739;2171646;Кадакес;1999;30
Бухгалтер;156015;9175819;Ереван;2014;19
Продавец;191702;4795550;Виго;2011;26
Врач;104672;2493092;Луарка;2002;32
Менеджер;79293;9085292;Санхенхо;2016;37
Психолог;171339;9598468;Барселона;2002;21
Менеджер;53510;7815207;Загреб;2011;28
Медсестра;93206;4459052;Астана;2015;40
Строитель;153720;9101300;Камбадос;1999;41
Строитель;116713;9446187;Вильнюс;2006;60
Повар;157102;1803372;Льейда;2015;38
Продавец;138588;9857885;Камбадос;2010;48
Продавец;171082;7389876;Кишинев;2021;46
Менеджер;190136;5680078;Прага;2021;38
Продавец;28669;8130973;Куэнка;2004;65
Психолог;76388;7867192;Сан-Себастьян;2004;31
Повар;28629;9427625;Сеговия;2007;34
Учитель;84013;4088218;Виго;2011;53
Бухгалтер;166805;5510857;Санхенхо;2003;27
Водитель;167281;7708340;Осера;2018;43
Инженер;136926;3574777;Ташкент;2009;42
Медсестра;45439;4039027;Монсон;2018;53
Архитектор;108183;9621450;Вроцлав;2007;25
Врач;42537;4944829;Белград;1999;32
Врач;27877;4522588;Санхенхо;2010;36
Врач;83657;1610112;Тарраса;2022;41
Продавец;126708;6269632;Малага;2000;51
Оператор call-центра;125041;3293820;Тбилиси;2002;58
Медсестра;151317;4174149;Минск;2019;51
Повар;83153;8797730;Будапешт;2011;51
Учитель;142813;1359547;Варшава;2013;63
Оператор call-центра;62241;3866811;Эльче;2022;26
Учитель;83248;5194848;Аликанте;2008;23
Продавец;31868;7385527;Минск;2015;36
Психолог;54730;8925341;Сеговия;2002;24
Программист;66320;7721938;Хихон;2018;44
Менеджер;137333;9902644;Навалькарнеро;2005;59
Психолог;182957;6325783;Севилья;2022;41
Психолог;121501;2769647;Тбилиси;2007;56
Продавец;158358;8557249;Сория;2018;30
Продавец;86919;2591813;Фигерас;2018;21
IT-специалист;36966;1352847;Белград;2002;55
Программист;97809;2226694;Махадаонда;2005;21
Врач;168175;4700597;Кадакес;2011;53
Водитель;142856;5578496;Эльче;2016;62
Повар;25439;3879230;София;2013;22
Менеджер;158624;9192531;Бланес;2017;55
Оператор call-центра;159544;8588611;Алма-Ата;2017;48
Учитель;140310;8364903;Вильнюс;2011;30
Строитель;79017;1565673;Москва;2000;53
Косметолог;180288;4697585;Артейхо;2007;47
Архитектор;144656;7441668;Сантьяго-де-Компостела;2022;31
Продавец;177773;2796236;Осера;2013;24
Врач;28147;3350487;Самора;2008;24
IT-специалист;37600;6200584;Вильявисиоса;2015;45
Инженер;134963;4942704;Алма-Ата;2013;32
Учитель;93332;8888503;Кадакес;2017;24
Архитектор;177099;5078916;Пласенсия;2004;51
Строитель;102355;6396992;Астана;2011;32
Водитель;35272;1838947;Кадакес;2002;51
Бухгалтер;29602;5282815;Варшава;2000;55
Врач;100312;9475257;Тудела;2008;57
Менеджер;176030;3027917;Камбадос;2022;60
Психолог;151999;4663347;София;2013;28
Врач;181450;4851362;Ла-Корунья;2001;54
Оператор call-центра;23417;3298245;Сьюдад-Реаль;2010;58
Косметолог;155836;1314965;Будапешт;2011;64
Психолог;158124;6929454;Ташкент;2013;24
Повар;194483;3838994;Бишкек;2013;36
Строитель;136929;3477432;Тирана;2014;20
Медсестра;90250;7572932;Луго;2017;39
Строитель;128952;4048500;Эльче;2002;48
Менеджер;83927;4467763;Бишкек;2019;38
Медсестра;121957;7940634;Сараево;2019;34
Менеджер;188152;3106257;Краков;2013;35
Менеджер;89636;2206311;Сория;2002;28
Водитель;174680;9143820;Сараево;2017;34
Медсестра;160924;3820257;Тирана;1999;39
Медсестра;60458;6174055;Бишкек;2015;20
Инженер;91903;8890744;Махадаонда;2020;48
Архитектор;181262;3325581;Касерес;2000;19
Оператор call-центра;145674;4515776;Камбадос;2004;47
Архитектор;50656;7575172;Хельсинки;2010;21
Врач;117517;3399206;София;2020;46
Инженер;180986;2864661;Луарка;2004;65
Бухгалтер;138363;5837791;Тбилиси;2020;20
Врач;60972;3737606;Аликанте;2005;19
Продавец;112220;2967925;Сория;2007;19
Продавец;127290;2723543;Пласенсия;2001;53
Учитель;62893;7169188;Авилес;2017;63
Повар;84310;6322496;Астана;2017;23
Архитектор;61127;4552219;Виго;2001;20
Оператор call-центра;130176;9930161;Лас-Росас;2001;51
IT-специалист;29046;3617506;Бишкек;2008;27
Медсестра;184985;9615217;Скопье;2020;31
IT-специалист;179636;4136687;Бургос;2016;58
Врач;102118;7847007;Артейхо;2013;51
Инженер;60688;6889513;Белград;2010;41
Строитель;78121;3821026;Махадаонда;2017;37
Продавец;79934;9175801;Санкт-Петербург;2012;38
Медсестра;83192;6564620;Самора;2006;21
Программист;112703;8304502;Мерида;2012;61
Менеджер;84418;1526629;Гранада;2004;46
Менеджер;167334;2013923;Малага;2002;25
Продавец;181115;1781514;Афины;2012;27
